"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","kod_ruian"
"CS","CISORP",65,"1000","Praha","Praha","2003-01-01","9999-09-09","19"
"CS","CISORP",65,"2101","Benešov","Benešov","2003-01-01","9999-09-09","27"
"CS","CISORP",65,"2102","Beroun","Beroun","2003-01-01","9999-09-09","51"
"CS","CISORP",65,"2103","Brandýs n.L.-S.Boleslav","Brandýs nad Labem-Stará Boleslav","2003-01-01","9999-09-09","213"
"CS","CISORP",65,"2104","Čáslav","Čáslav","2003-01-01","9999-09-09","124"
"CS","CISORP",65,"2105","Černošice","Černošice","2003-01-01","9999-09-09","230"
"CS","CISORP",65,"2106","Český Brod","Český Brod","2003-01-01","9999-09-09","108"
"CS","CISORP",65,"2107","Dobříš","Dobříš","2003-01-01","9999-09-09","248"
"CS","CISORP",65,"2108","Hořovice","Hořovice","2003-01-01","9999-09-09","60"
"CS","CISORP",65,"2109","Kladno","Kladno","2003-01-01","9999-09-09","78"
"CS","CISORP",65,"2110","Kolín","Kolín","2003-01-01","9999-09-09","94"
"CS","CISORP",65,"2111","Kralupy nad Vltavou","Kralupy nad Vltavou","2003-01-01","9999-09-09","132"
"CS","CISORP",65,"2112","Kutná Hora","Kutná Hora","2003-01-01","9999-09-09","116"
"CS","CISORP",65,"2113","Lysá nad Labem","Lysá nad Labem","2003-01-01","9999-09-09","183"
"CS","CISORP",65,"2114","Mělník","Mělník","2003-01-01","9999-09-09","141"
"CS","CISORP",65,"2115","Mladá Boleslav","Mladá Boleslav","2003-01-01","9999-09-09","167"
"CS","CISORP",65,"2116","Mnichovo Hradiště","Mnichovo Hradiště","2003-01-01","9999-09-09","175"
"CS","CISORP",65,"2117","Neratovice","Neratovice","2003-01-01","9999-09-09","159"
"CS","CISORP",65,"2118","Nymburk","Nymburk","2003-01-01","9999-09-09","191"
"CS","CISORP",65,"2119","Poděbrady","Poděbrady","2003-01-01","9999-09-09","205"
"CS","CISORP",65,"2120","Příbram","Příbram","2003-01-01","9999-09-09","256"
"CS","CISORP",65,"2121","Rakovník","Rakovník","2003-01-01","9999-09-09","272"
"CS","CISORP",65,"2122","Říčany","Říčany","2003-01-01","9999-09-09","221"
"CS","CISORP",65,"2123","Sedlčany","Sedlčany","2003-01-01","9999-09-09","264"
"CS","CISORP",65,"2124","Slaný","Slaný","2003-01-01","9999-09-09","86"
"CS","CISORP",65,"2125","Vlašim","Vlašim","2003-01-01","9999-09-09","35"
"CS","CISORP",65,"2126","Votice","Votice","2003-01-01","9999-09-09","43"
"CS","CISORP",65,"3101","Blatná","Blatná","2003-01-01","9999-09-09","434"
"CS","CISORP",65,"3102","České Budějovice","České Budějovice","2003-01-01","9999-09-09","302"
"CS","CISORP",65,"3103","Český Krumlov","Český Krumlov","2003-01-01","9999-09-09","329"
"CS","CISORP",65,"3104","Dačice","Dačice","2003-01-01","9999-09-09","337"
"CS","CISORP",65,"3105","Jindřichův Hradec","Jindřichův Hradec","2003-01-01","9999-09-09","345"
"CS","CISORP",65,"3106","Kaplice","Kaplice","2003-01-01","9999-09-09","311"
"CS","CISORP",65,"3107","Milevsko","Milevsko","2003-01-01","9999-09-09","396"
"CS","CISORP",65,"3108","Písek","Písek","2003-01-01","9999-09-09","400"
"CS","CISORP",65,"3109","Prachatice","Prachatice","2003-01-01","9999-09-09","418"
"CS","CISORP",65,"3110","Soběslav","Soběslav","2003-01-01","9999-09-09","469"
"CS","CISORP",65,"3111","Strakonice","Strakonice","2003-01-01","9999-09-09","442"
"CS","CISORP",65,"3112","Tábor","Tábor","2003-01-01","9999-09-09","477"
"CS","CISORP",65,"3113","Trhové Sviny","Trhové Sviny","2003-01-01","9999-09-09","281"
"CS","CISORP",65,"3114","Třeboň","Třeboň","2003-01-01","9999-09-09","353"
"CS","CISORP",65,"3115","Týn nad Vltavou","Týn nad Vltavou","2003-01-01","9999-09-09","299"
"CS","CISORP",65,"3116","Vimperk","Vimperk","2003-01-01","9999-09-09","426"
"CS","CISORP",65,"3117","Vodňany","Vodňany","2003-01-01","9999-09-09","451"
"CS","CISORP",65,"3201","Blovice","Blovice","2003-01-01","9999-09-09","591"
"CS","CISORP",65,"3202","Domažlice","Domažlice","2003-01-01","9999-09-09","485"
"CS","CISORP",65,"3203","Horažďovice","Horažďovice","2003-01-01","9999-09-09","558"
"CS","CISORP",65,"3204","Horšovský Týn","Horšovský Týn","2003-01-01","9999-09-09","493"
"CS","CISORP",65,"3205","Klatovy","Klatovy","2003-01-01","9999-09-09","566"
"CS","CISORP",65,"3206","Kralovice","Kralovice","2003-01-01","9999-09-09","639"
"CS","CISORP",65,"3207","Nepomuk","Nepomuk","2003-01-01","9999-09-09","604"
"CS","CISORP",65,"3208","Nýřany","Nýřany","2003-01-01","9999-09-09","647"
"CS","CISORP",65,"3209","Plzeň","Plzeň","2003-01-01","9999-09-09","582"
"CS","CISORP",65,"3210","Přeštice","Přeštice","2003-01-01","9999-09-09","612"
"CS","CISORP",65,"3211","Rokycany","Rokycany","2003-01-01","9999-09-09","655"
"CS","CISORP",65,"3212","Stod","Stod","2003-01-01","9999-09-09","621"
"CS","CISORP",65,"3213","Stříbro","Stříbro","2003-01-01","9999-09-09","680"
"CS","CISORP",65,"3214","Sušice","Sušice","2003-01-01","9999-09-09","574"
"CS","CISORP",65,"3215","Tachov","Tachov","2003-01-01","9999-09-09","698"
"CS","CISORP",65,"4101","Aš","Aš","2003-01-01","9999-09-09","507"
"CS","CISORP",65,"4102","Cheb","Cheb","2003-01-01","9999-09-09","515"
"CS","CISORP",65,"4103","Karlovy Vary","Karlovy Vary","2003-01-01","9999-09-09","531"
"CS","CISORP",65,"4104","Kraslice","Kraslice","2003-01-01","9999-09-09","663"
"CS","CISORP",65,"4105","Mariánské Lázně","Mariánské Lázně","2003-01-01","9999-09-09","523"
"CS","CISORP",65,"4106","Ostrov","Ostrov","2003-01-01","9999-09-09","540"
"CS","CISORP",65,"4107","Sokolov","Sokolov","2003-01-01","9999-09-09","671"
"CS","CISORP",65,"4201","Bílina","Bílina","2003-01-01","9999-09-09","906"
"CS","CISORP",65,"4202","Děčín","Děčín","2003-01-01","9999-09-09","728"
"CS","CISORP",65,"4203","Chomutov","Chomutov","2003-01-01","9999-09-09","752"
"CS","CISORP",65,"4204","Kadaň","Kadaň","2003-01-01","9999-09-09","761"
"CS","CISORP",65,"4205","Litoměřice","Litoměřice","2003-01-01","9999-09-09","825"
"CS","CISORP",65,"4206","Litvínov","Litvínov","2003-01-01","9999-09-09","884"
"CS","CISORP",65,"4207","Louny","Louny","2003-01-01","9999-09-09","850"
"CS","CISORP",65,"4208","Lovosice","Lovosice","2003-01-01","9999-09-09","833"
"CS","CISORP",65,"4209","Most","Most","2003-01-01","9999-09-09","892"
"CS","CISORP",65,"4210","Podbořany","Podbořany","2003-01-01","9999-09-09","868"
"CS","CISORP",65,"4211","Roudnice nad Labem","Roudnice nad Labem","2003-01-01","9999-09-09","841"
"CS","CISORP",65,"4212","Rumburk","Rumburk","2003-01-01","9999-09-09","736"
"CS","CISORP",65,"4213","Teplice","Teplice","2003-01-01","9999-09-09","914"
"CS","CISORP",65,"4214","Ústí nad Labem","Ústí nad Labem","2003-01-01","9999-09-09","922"
"CS","CISORP",65,"4215","Varnsdorf","Varnsdorf","2003-01-01","9999-09-09","744"
"CS","CISORP",65,"4216","Žatec","Žatec","2003-01-01","9999-09-09","876"
"CS","CISORP",65,"5101","Česká Lípa","Česká Lípa","2003-01-01","9999-09-09","710"
"CS","CISORP",65,"5102","Frýdlant","Frýdlant","2003-01-01","9999-09-09","809"
"CS","CISORP",65,"5103","Jablonec nad Nisou","Jablonec nad Nisou","2003-01-01","9999-09-09","779"
"CS","CISORP",65,"5104","Jilemnice","Jilemnice","2003-01-01","9999-09-09","1139"
"CS","CISORP",65,"5105","Liberec","Liberec","2003-01-01","9999-09-09","817"
"CS","CISORP",65,"5106","Nový Bor","Nový Bor","2003-01-01","9999-09-09","701"
"CS","CISORP",65,"5107","Semily","Semily","2003-01-01","9999-09-09","1147"
"CS","CISORP",65,"5108","Tanvald","Tanvald","2003-01-01","9999-09-09","787"
"CS","CISORP",65,"5109","Turnov","Turnov","2003-01-01","9999-09-09","1155"
"CS","CISORP",65,"5110","Železný Brod","Železný Brod","2003-01-01","9999-09-09","795"
"CS","CISORP",65,"5201","Broumov","Broumov","2003-01-01","9999-09-09","1031"
"CS","CISORP",65,"5202","Dobruška","Dobruška","2003-01-01","9999-09-09","1104"
"CS","CISORP",65,"5203","Dvůr Králové nad Labem","Dvůr Králové nad Labem","2003-01-01","9999-09-09","1201"
"CS","CISORP",65,"5204","Hořice","Hořice","2003-01-01","9999-09-09","1007"
"CS","CISORP",65,"5205","Hradec Králové","Hradec Králové","2003-01-01","9999-09-09","965"
"CS","CISORP",65,"5206","Jaroměř","Jaroměř","2003-01-01","9999-09-09","1040"
"CS","CISORP",65,"5207","Jičín","Jičín","2003-01-01","9999-09-09","1015"
"CS","CISORP",65,"5208","Kostelec nad Orlicí","Kostelec nad Orlicí","2003-01-01","9999-09-09","1112"
"CS","CISORP",65,"5209","Náchod","Náchod","2003-01-01","9999-09-09","1066"
"CS","CISORP",65,"5210","Nová Paka","Nová Paka","2003-01-01","9999-09-09","1023"
"CS","CISORP",65,"5211","Nové Město nad Metují","Nové Město nad Metují","2003-01-01","9999-09-09","1058"
"CS","CISORP",65,"5212","Nový Bydžov","Nový Bydžov","2003-01-01","9999-09-09","973"
"CS","CISORP",65,"5213","Rychnov nad Kněžnou","Rychnov nad Kněžnou","2003-01-01","9999-09-09","1121"
"CS","CISORP",65,"5214","Trutnov","Trutnov","2003-01-01","9999-09-09","1210"
"CS","CISORP",65,"5215","Vrchlabí","Vrchlabí","2003-01-01","9999-09-09","1228"
"CS","CISORP",65,"5301","Česká Třebová","Česká Třebová","2003-01-01","9999-09-09","1279"
"CS","CISORP",65,"5302","Hlinsko","Hlinsko","2003-01-01","9999-09-09","990"
"CS","CISORP",65,"5303","Holice","Holice","2003-01-01","9999-09-09","1074"
"CS","CISORP",65,"5304","Chrudim","Chrudim","2003-01-01","9999-09-09","981"
"CS","CISORP",65,"5305","Králíky","Králíky","2003-01-01","9999-09-09","1236"
"CS","CISORP",65,"5306","Lanškroun","Lanškroun","2003-01-01","9999-09-09","1244"
"CS","CISORP",65,"5307","Litomyšl","Litomyšl","2003-01-01","9999-09-09","1163"
"CS","CISORP",65,"5308","Moravská Třebová","Moravská Třebová","2003-01-01","9999-09-09","1171"
"CS","CISORP",65,"5309","Pardubice","Pardubice","2003-01-01","9999-09-09","1082"
"CS","CISORP",65,"5310","Polička","Polička","2003-01-01","9999-09-09","1180"
"CS","CISORP",65,"5311","Přelouč","Přelouč","2003-01-01","9999-09-09","1091"
"CS","CISORP",65,"5312","Svitavy","Svitavy","2003-01-01","9999-09-09","1198"
"CS","CISORP",65,"5313","Ústí nad Orlicí","Ústí nad Orlicí","2003-01-01","9999-09-09","1287"
"CS","CISORP",65,"5314","Vysoké Mýto","Vysoké Mýto","2003-01-01","9999-09-09","1252"
"CS","CISORP",65,"5315","Žamberk","Žamberk","2003-01-01","9999-09-09","1261"
"CS","CISORP",65,"6101","Bystřice n.Pernštejnem","Bystřice nad Pernštejnem","2003-01-01","9999-09-09","1678"
"CS","CISORP",65,"6102","Havlíčkův Brod","Havlíčkův Brod","2003-01-01","9999-09-09","949"
"CS","CISORP",65,"6103","Humpolec","Humpolec","2003-01-01","9999-09-09","361"
"CS","CISORP",65,"6104","Chotěboř","Chotěboř","2003-01-01","9999-09-09","931"
"CS","CISORP",65,"6105","Jihlava","Jihlava","2003-01-01","9999-09-09","1503"
"CS","CISORP",65,"6106","Moravské Budějovice","Moravské Budějovice","2003-01-01","9999-09-09","1571"
"CS","CISORP",65,"6107","Náměšť nad Oslavou","Náměšť nad Oslavou","2003-01-01","9999-09-09","1589"
"CS","CISORP",65,"6108","Nové Město na Moravě","Nové Město na Moravě","2003-01-01","9999-09-09","1686"
"CS","CISORP",65,"6109","Pacov","Pacov","2003-01-01","9999-09-09","370"
"CS","CISORP",65,"6110","Pelhřimov","Pelhřimov","2003-01-01","9999-09-09","388"
"CS","CISORP",65,"6111","Světlá nad Sázavou","Světlá nad Sázavou","2003-01-01","9999-09-09","957"
"CS","CISORP",65,"6112","Telč","Telč","2003-01-01","9999-09-09","1511"
"CS","CISORP",65,"6113","Třebíč","Třebíč","2003-01-01","9999-09-09","1597"
"CS","CISORP",65,"6114","Velké Meziříčí","Velké Meziříčí","2003-01-01","9999-09-09","1694"
"CS","CISORP",65,"6115","Žďár nad Sázavou","Žďár nad Sázavou","2003-01-01","9999-09-09","1708"
"CS","CISORP",65,"6201","Blansko","Blansko","2003-01-01","9999-09-09","1295"
"CS","CISORP",65,"6202","Boskovice","Boskovice","2003-01-01","9999-09-09","1309"
"CS","CISORP",65,"6203","Brno","Brno","2003-01-01","9999-09-09","1317"
"CS","CISORP",65,"6204","Břeclav","Břeclav","2003-01-01","9999-09-09","1384"
"CS","CISORP",65,"6205","Bučovice","Bučovice","2003-01-01","9999-09-09","1627"
"CS","CISORP",65,"6206","Hodonín","Hodonín","2003-01-01","9999-09-09","1473"
"CS","CISORP",65,"6207","Hustopeče","Hustopeče","2003-01-01","9999-09-09","1392"
"CS","CISORP",65,"6208","Ivančice","Ivančice","2003-01-01","9999-09-09","1325"
"CS","CISORP",65,"6209","Kuřim","Kuřim","2003-01-01","9999-09-09","1333"
"CS","CISORP",65,"6210","Kyjov","Kyjov","2003-01-01","9999-09-09","1481"
"CS","CISORP",65,"6211","Mikulov","Mikulov","2003-01-01","9999-09-09","1406"
"CS","CISORP",65,"6212","Moravský Krumlov","Moravský Krumlov","2003-01-01","9999-09-09","1651"
"CS","CISORP",65,"6213","Pohořelice","Pohořelice","2003-01-01","9999-09-09","1414"
"CS","CISORP",65,"6214","Rosice","Rosice","2003-01-01","9999-09-09","1341"
"CS","CISORP",65,"6215","Slavkov u Brna","Slavkov u Brna","2003-01-01","9999-09-09","1635"
"CS","CISORP",65,"6216","Šlapanice","Šlapanice","2003-01-01","9999-09-09","1368"
"CS","CISORP",65,"6217","Tišnov","Tišnov","2003-01-01","9999-09-09","1350"
"CS","CISORP",65,"6218","Veselí nad Moravou","Veselí nad Moravou","2003-01-01","9999-09-09","1490"
"CS","CISORP",65,"6219","Vyškov","Vyškov","2003-01-01","9999-09-09","1643"
"CS","CISORP",65,"6220","Znojmo","Znojmo","2003-01-01","9999-09-09","1660"
"CS","CISORP",65,"6221","Židlochovice","Židlochovice","2003-01-01","9999-09-09","1376"
"CS","CISORP",65,"7101","Hranice","Hranice","2003-01-01","9999-09-09","1970"
"CS","CISORP",65,"7102","Jeseník","Jeseník","2003-01-01","9999-09-09","2062"
"CS","CISORP",65,"7103","Konice","Konice","2003-01-01","9999-09-09","1554"
"CS","CISORP",65,"7104","Lipník nad Bečvou","Lipník nad Bečvou","2003-01-01","9999-09-09","1988"
"CS","CISORP",65,"7105","Litovel","Litovel","2003-01-01","9999-09-09","1881"
"CS","CISORP",65,"7106","Mohelnice","Mohelnice","2003-01-01","9999-09-09","2003"
"CS","CISORP",65,"7107","Olomouc","Olomouc","2003-01-01","9999-09-09","1899"
"CS","CISORP",65,"7108","Prostějov","Prostějov","2003-01-01","9999-09-09","1562"
"CS","CISORP",65,"7109","Přerov","Přerov","2003-01-01","9999-09-09","1996"
"CS","CISORP",65,"7110","Šternberk","Šternberk","2003-01-01","9999-09-09","1911"
"CS","CISORP",65,"7111","Šumperk","Šumperk","2003-01-01","9999-09-09","2020"
"CS","CISORP",65,"7112","Uničov","Uničov","2003-01-01","9999-09-09","1902"
"CS","CISORP",65,"7113","Zábřeh","Zábřeh","2003-01-01","9999-09-09","2011"
"CS","CISORP",65,"7201","Bystřice pod Hostýnem","Bystřice pod Hostýnem","2003-01-01","9999-09-09","1520"
"CS","CISORP",65,"7202","Holešov","Holešov","2003-01-01","9999-09-09","1538"
"CS","CISORP",65,"7203","Kroměříž","Kroměříž","2003-01-01","9999-09-09","1546"
"CS","CISORP",65,"7204","Luhačovice","Luhačovice","2003-01-01","9999-09-09","1422"
"CS","CISORP",65,"7205","Otrokovice","Otrokovice","2003-01-01","9999-09-09","1431"
"CS","CISORP",65,"7206","Rožnov pod Radhoštěm","Rožnov pod Radhoštěm","2003-01-01","9999-09-09","2038"
"CS","CISORP",65,"7207","Uherské Hradiště","Uherské Hradiště","2003-01-01","9999-09-09","1601"
"CS","CISORP",65,"7208","Uherský Brod","Uherský Brod","2003-01-01","9999-09-09","1619"
"CS","CISORP",65,"7209","Valašské Klobouky","Valašské Klobouky","2003-01-01","9999-09-09","1449"
"CS","CISORP",65,"7210","Valašské Meziříčí","Valašské Meziříčí","2003-01-01","9999-09-09","2046"
"CS","CISORP",65,"7211","Vizovice","Vizovice","2003-01-01","9999-09-09","1457"
"CS","CISORP",65,"7212","Vsetín","Vsetín","2003-01-01","9999-09-09","2054"
"CS","CISORP",65,"7213","Zlín","Zlín","2003-01-01","9999-09-09","1465"
"CS","CISORP",65,"8101","Bílovec","Bílovec","2003-01-01","9999-09-09","1830"
"CS","CISORP",65,"8102","Bohumín","Bohumín","2003-01-01","9999-09-09","1783"
"CS","CISORP",65,"8103","Bruntál","Bruntál","2003-01-01","9999-09-09","1716"
"CS","CISORP",65,"8104","Český Těšín","Český Těšín","2003-01-01","9999-09-09","1821"
"CS","CISORP",65,"8105","Frenštát pod Radhoštěm","Frenštát pod Radhoštěm","2003-01-01","9999-09-09","1848"
"CS","CISORP",65,"8106","Frýdek-Místek","Frýdek-Místek","2003-01-01","9999-09-09","1741"
"CS","CISORP",65,"8107","Frýdlant nad Ostravicí","Frýdlant nad Ostravicí","2003-01-01","9999-09-09","1759"
"CS","CISORP",65,"8108","Havířov","Havířov","2003-01-01","9999-09-09","1791"
"CS","CISORP",65,"8109","Hlučín","Hlučín","2003-01-01","9999-09-09","1929"
"CS","CISORP",65,"8110","Jablunkov","Jablunkov","2003-01-01","9999-09-09","1767"
"CS","CISORP",65,"8111","Karviná","Karviná","2003-01-01","9999-09-09","1805"
"CS","CISORP",65,"8112","Kopřivnice","Kopřivnice","2003-01-01","9999-09-09","1856"
"CS","CISORP",65,"8113","Kravaře","Kravaře","2003-01-01","9999-09-09","1937"
"CS","CISORP",65,"8114","Krnov","Krnov","2003-01-01","9999-09-09","1724"
"CS","CISORP",65,"8115","Nový Jičín","Nový Jičín","2003-01-01","9999-09-09","1864"
"CS","CISORP",65,"8116","Odry","Odry","2003-01-01","9999-09-09","1872"
"CS","CISORP",65,"8117","Opava","Opava","2003-01-01","9999-09-09","1945"
"CS","CISORP",65,"8118","Orlová","Orlová","2003-01-01","9999-09-09","1813"
"CS","CISORP",65,"8119","Ostrava","Ostrava","2003-01-01","9999-09-09","1961"
"CS","CISORP",65,"8120","Rýmařov","Rýmařov","2003-01-01","9999-09-09","1732"
"CS","CISORP",65,"8121","Třinec","Třinec","2003-01-01","9999-09-09","1775"
"CS","CISORP",65,"8122","Vítkov","Vítkov","2003-01-01","9999-09-09","1953"